ring_radius_km,pole_correction_km,timing_correction_km,ring_longitude_deg,observed_ring_azimuth_deg,normalized_signal_power,normal_optical_depth,phase_shift_deg,normal_optical_depth_threshold,observed_event_time_s,ring_event_time_s,spacecraft_event_time_s,observed_ring_elevation_deg
74495.000000,0.134607,1.031898,54.130190,248.408705,7.587517e-01,1.104030e-01,39.565744,4.609488e+00,30808.414952,26125.288940,26124.344016,-23.571541
74497.500000,0.134608,1.031900,54.130759,248.409273,7.524019e-01,1.137636e-01,39.572162,4.609487e+00,30808.604746,26125.478717,26124.533790,-23.571541
74500.000000,0.134609,1.031902,54.131327,248.409841,7.347692e-01,1.232468e-01,39.473158,4.609485e+00,30808.794540,26125.668493,26124.723564,-23.571541
74502.500000,0.134610,1.031903,54.131895,248.410409,7.206377e-01,1.310127e-01,39.292556,4.609484e+00,30808.984333,26125.858268,26124.913337,-23.571541
74505.000000,0.134611,1.031905,54.132463,248.410977,7.219172e-01,1.303033e-01,39.104441,4.609482e+00,30809.174126,26126.048044,26125.103110,-23.571540
74507.500000,0.134613,1.031907,54.133031,248.411545,7.363462e-01,1.223895e-01,38.964883,4.609481e+00,30809.363919,26126.237819,26125.292883,-23.571540
74510.000000,0.134614,1.031909,54.133599,248.412112,7.521483e-01,1.138985e-01,38.900466,4.609479e+00,30809.553712,26126.427593,26125.482655,-23.571540
74512.500000,0.134615,1.031910,54.134167,248.412680,7.608138e-01,1.093176e-01,38.887164,4.609477e+00,30809.743504,26126.617368,26125.672427,-23.571540
74515.000000,0.134616,1.031912,54.134735,248.413248,7.640977e-01,1.075953e-01,38.899473,4.609476e+00,30809.933296,26126.807142,26125.862199,-23.571540
74517.500000,0.134618,1.031914,54.135303,248.413815,7.672587e-01,1.059444e-01,38.961542,4.609474e+00,30810.123087,26126.996916,26126.051970,-23.571540
74520.000000,0.134619,1.031915,54.135871,248.414383,7.733008e-01,1.028076e-01,39.152689,4.609473e+00,30810.312879,26127.186689,26126.241741,-23.571540
74522.500000,0.134620,1.031917,54.136439,248.414951,7.804058e-01,9.915018e-02,39.570033,4.609471e+00,30810.502670,26127.376462,26126.431512,-23.571540
74525.000000,0.134621,1.031919,54.137007,248.415518,7.889986e-01,9.477114e-02,40.197099,4.609470e+00,30810.692460,26127.566235,26126.621282,-23.571540
74527.500000,0.134622,1.031920,54.137574,248.416086,8.025649e-01,8.795365e-02,40.839151,4.609468e+00,30810.882251,26127.756007,26126.811053,-23.571540
74530.000000,0.134624,1.031922,54.138142,248.416653,8.228832e-01,7.795569e-02,41.246785,4.609467e+00,30811.072041,26127.945780,26127.000822,-23.571540
74532.500000,0.134625,1.031924,54.138710,248.417220,8.490856e-01,6.542073e-02,41.317399,4.609465e+00,30811.261831,26128.135552,26127.190592,-23.571540
74535.000000,0.134626,1.031925,54.139277,248.417788,8.773112e-01,5.234350e-02,41.160733,4.609464e+00,30811.451620,26128.325323,26127.380361,-23.571540
74537.500000,0.134627,1.031927,54.139845,248.418355,9.019267e-01,4.127785e-02,40.972256,4.609462e+00,30811.641409,26128.515094,26127.570130,-23.571540
74540.000000,0.134629,1.031929,54.140413,248.418922,9.183655e-01,3.405490e-02,40.900373,4.609461e+00,30811.831198,26128.704865,26127.759899,-23.571540
74542.500000,0.134630,1.031931,54.140980,248.419490,9.228019e-01,3.212777e-02,40.980741,4.609459e+00,30812.020986,26128.894636,26127.949667,-23.571540
74545.000000,0.134631,1.031932,54.141548,248.420057,9.125406e-01,3.659938e-02,41.180490,4.609458e+00,30812.210775,26129.084406,26128.139435,-23.571540
74547.500000,0.134632,1.031934,54.142115,248.420624,8.880937e-01,4.745862e-02,41.396578,4.609456e+00,30812.400562,26129.274176,26128.329203,-23.571540
74550.000000,0.134633,1.031936,54.142682,248.421191,8.532263e-01,6.347531e-02,41.514319,4.609454e+00,30812.590350,26129.463946,26128.518970,-23.571540
74552.500000,0.134635,1.031937,54.143250,248.421758,8.159862e-01,8.132154e-02,41.469734,4.609453e+00,30812.780137,26129.653716,26128.708737,-23.571540
74555.000000,0.134636,1.031939,54.143817,248.422325,7.838028e-01,9.741324e-02,41.271596,4.609451e+00,30812.969924,26129.843485,26128.898504,-23.571540
74557.500000,0.134637,1.031941,54.144385,248.422892,7.593144e-01,1.101065e-01,40.969179,4.609450e+00,30813.159711,26130.033254,26129.088270,-23.571540
74560.000000,0.134638,1.031942,54.144952,248.423459,7.417161e-01,1.194838e-01,40.634641,4.609448e+00,30813.349497,26130.223022,26129.278036,-23.571540
74562.500000,0.134640,1.031944,54.145519,248.424026,7.290564e-01,1.263681e-01,40.298324,4.609447e+00,30813.539283,26130.412790,26129.467802,-23.571539
74565.000000,0.134641,1.031946,54.146086,248.424593,7.210361e-01,1.307917e-01,40.008470,4.609445e+00,30813.729069,26130.602558,26129.657567,-23.571539
74567.500000,0.134642,1.031947,54.146653,248.425160,7.170979e-01,1.329819e-01,39.818996,4.609444e+00,30813.918854,26130.792326,26129.847333,-23.571539
74570.000000,0.134643,1.031949,54.147220,248.425727,7.165818e-01,1.332698e-01,39.721152,4.609442e+00,30814.108639,26130.982093,26130.037098,-23.571539
74572.500000,0.134644,1.031951,54.147787,248.426294,7.187981e-01,1.320349e-01,39.690784,4.609441e+00,30814.298424,26131.171860,26130.226862,-23.571539
74575.000000,0.134646,1.031953,54.148355,248.426860,7.242817e-01,1.289957e-01,39.710227,4.609439e+00,30814.488209,26131.361626,26130.416626,-23.571539
74577.500000,0.134647,1.031954,54.148921,248.427427,7.340998e-01,1.236113e-01,39.837365,4.609438e+00,30814.677993,26131.551393,26130.606390,-23.571539
74580.000000,0.134648,1.031956,54.149488,248.427994,7.515265e-01,1.142292e-01,40.164624,4.609436e+00,30814.867777,26131.741159,26130.796154,-23.571539
74582.500000,0.134649,1.031958,54.150055,248.428560,7.801167e-01,9.929834e-02,40.750326,4.609434e+00,30815.057560,26131.930924,26130.985917,-23.571539
74585.000000,0.134651,1.031959,54.150622,248.429127,8.208594e-01,7.894042e-02,41.549702,4.609433e+00,30815.247343,26132.120690,26131.175680,-23.571539
74587.500000,0.134652,1.031961,54.151189,248.429694,8.675237e-01,5.682987e-02,42.385365,4.609431e+00,30815.437126,26132.310455,26131.365443,-23.571539
74590.000000,0.134653,1.031963,54.151756,248.430260,9.090218e-01,3.814433e-02,43.039398,4.609430e+00,30815.626909,26132.500220,26131.555205,-23.571539
74592.500000,0.134654,1.031964,54.152323,248.430827,9.354880e-01,2.666768e-02,43.424199,4.609428e+00,30815.816691,26132.689984,26131.744967,-23.571539
74595.000000,0.134655,1.031966,54.152889,248.431393,9.432906e-01,2.334615e-02,43.569836,4.609427e+00,30816.006473,26132.879748,26131.934729,-23.571539
74597.500000,0.134657,1.031968,54.153456,248.431959,9.349145e-01,2.691292e-02,43.587569,4.609425e+00,30816.196255,26133.069512,26132.124491,-23.571539
74600.000000,0.134658,1.031969,54.154023,248.432526,9.167996e-01,3.473734e-02,43.580707,4.609424e+00,30816.386036,26133.259276,26132.314252,-23.571539
74602.500000,0.134659,1.031971,54.154589,248.433092,8.963490e-01,4.375855e-02,43.612197,4.609422e+00,30816.575817,26133.449039,26132.504013,-23.571539
74605.000000,0.134660,1.031973,54.155156,248.433658,8.810097e-01,5.066121e-02,43.705099,4.609421e+00,30816.765598,26133.638802,26132.693773,-23.571539
74607.500000,0.134662,1.031974,54.155722,248.434225,8.779985e-01,5.203035e-02,43.906264,4.609419e+00,30816.955378,26133.828564,26132.883533,-23.571539
74610.000000,0.134663,1.031976,54.156289,248.434791,8.890988e-01,4.700628e-02,44.240478,4.609418e+00,30817.145158,26134.018327,26133.073293,-23.571539
74612.500000,0.134664,1.031978,54.156855,248.435357,9.092119e-01,3.806073e-02,44.698934,4.609416e+00,30817.334938,26134.208089,26133.263053,-23.571539
74615.000000,0.134665,1.031979,54.157422,248.435923,9.291170e-01,2.940043e-02,45.240084,4.609415e+00,30817.524718,26134.397850,26133.452812,-23.571539
74617.500000,0.134666,1.031981,54.157988,248.436489,9.420200e-01,2.388516e-02,45.803492,4.609413e+00,30817.714497,26134.587612,26133.642571,-23.571538
74620.000000,0.134668,1.031983,54.158554,248.437055,9.459700e-01,2.221187e-02,46.308986,4.609412e+00,30817.904276,26134.777373,26133.832330,-23.571538
