ring_radius_km,pole_correction_km,timing_correction_km,ring_longitude_deg,observed_ring_azimuth_deg,normalized_signal_power,normal_optical_depth,phase_shift_deg,normal_optical_depth_threshold,observed_event_time_s,ring_event_time_s,spacecraft_event_time_s,observed_ring_elevation_deg
88655.000000,-0.113026,-0.010867,315.468101,104.537951,4.927100e-01,8.167436e-02,-7.940532,1.525199e+00,14964.383766,10519.836836,10519.276126,-6.625903
88657.500000,-0.113121,-0.011325,315.530016,104.599865,5.018998e-01,7.954205e-02,-13.005987,1.520445e+00,14965.711168,10521.164050,10520.603648,-6.625902
88660.000000,-0.113209,-0.011765,315.589527,104.659375,5.101449e-01,7.766191e-02,-18.680930,1.516053e+00,14966.987085,10522.439786,10521.879679,-6.625902
88662.500000,-0.113291,-0.012190,315.646892,104.716740,5.199497e-01,7.546526e-02,-24.625524,1.511971e+00,14968.217086,10523.669612,10523.109790,-6.625901
88665.000000,-0.113368,-0.012600,315.702329,104.772176,5.312202e-01,7.299084e-02,-30.447232,1.508159e+00,14969.405799,10524.858156,10524.298610,-6.625901
88667.500000,-0.113440,-0.012997,315.756020,104.825866,5.430771e-01,7.044374e-02,-35.751964,1.504584e+00,14970.557126,10526.009320,10525.450039,-6.625901
88670.000000,-0.113507,-0.013383,315.808119,104.877964,5.551553e-01,6.790563e-02,-40.265033,1.501217e+00,14971.674389,10527.126424,10526.567403,-6.625900
88672.500000,-0.113570,-0.013757,315.858760,104.928604,5.690542e-01,6.505238e-02,-43.933529,1.498035e+00,14972.760447,10528.212329,10527.653558,-6.625900
88675.000000,-0.113630,-0.014122,315.908059,104.977902,5.883992e-01,6.119501e-02,-46.979905,1.495020e+00,14973.817780,10529.269511,10528.710986,-6.625900
88677.500000,-0.113686,-0.014477,315.956117,105.025960,6.172882e-01,5.566451e-02,-49.774371,1.492155e+00,14974.848555,10530.300140,10529.741854,-6.625899
88680.000000,-0.113739,-0.014824,316.003023,105.072865,6.605260e-01,4.785281e-02,-52.587262,1.489425e+00,14975.854681,10531.306123,10530.748069,-6.625899
88682.500000,-0.113788,-0.015163,316.048856,105.118697,7.208818e-01,3.776359e-02,-55.468061,1.486818e+00,14976.837846,10532.289149,10531.731323,-6.625899
88685.000000,-0.113835,-0.015494,316.093686,105.163527,7.944348e-01,2.655317e-02,-58.351095,1.484324e+00,14977.799558,10533.250724,10532.693120,-6.625898
88687.500000,-0.113879,-0.015819,316.137577,105.207417,8.690943e-01,1.618910e-02,-61.185669,1.481934e+00,14978.741163,10534.192195,10533.634810,-6.625898
88690.000000,-0.113921,-0.016137,316.180584,105.250424,9.302215e-01,8.346171e-03,-63.979647,1.479638e+00,14979.663873,10535.114774,10534.557603,-6.625898
88692.500000,-0.113960,-0.016448,316.222760,105.292598,9.540151e-01,5.431889e-03,-66.610600,1.477430e+00,14980.568784,10536.019557,10535.462595,-6.625898
88695.000000,-0.113997,-0.016754,316.264150,105.333988,8.741236e-01,1.552329e-02,-68.782769,1.475304e+00,14981.456890,10536.907537,10536.350780,-6.625897
88697.500000,-0.114033,-0.017055,316.304796,105.374634,6.482200e-01,5.002278e-02,-70.367863,1.473253e+00,14982.329093,10537.779617,10537.223062,-6.625897
88700.000000,-0.114066,-0.017350,316.344738,105.414575,3.489631e-01,1.214773e-01,-71.447677,1.471273e+00,14983.186222,10538.636623,10538.080267,-6.625897
88702.500000,-0.114097,-0.017640,316.384010,105.453846,1.224764e-01,2.422920e-01,-72.283216,1.469358e+00,14984.029031,10539.479313,10538.923152,-6.625896
88705.000000,-0.114126,-0.017926,316.422646,105.492481,2.578156e-02,4.220935e-01,-73.546628,1.467505e+00,14984.858218,10540.308383,10539.752414,-6.625896
88707.500000,-0.114154,-0.018207,316.460674,105.530509,3.742514e-03,6.447774e-01,-77.196103,1.465710e+00,14985.674423,10541.124472,10540.568692,-6.625896
88710.000000,-0.114180,-0.018483,316.498123,105.567957,1.251834e-03,7.711422e-01,-83.720391,1.463968e+00,14986.478238,10541.928173,10541.372579,-6.625896
88712.500000,-0.114204,-0.018756,316.535018,105.604852,4.716015e-03,6.180993e-01,-87.223504,1.462278e+00,14987.270213,10542.720035,10542.164624,-6.625895
88715.000000,-0.114227,-0.019025,316.571383,105.641217,2.790260e-02,4.129709e-01,-89.605123,1.460636e+00,14988.050855,10543.500567,10542.945337,-6.625895
