ring_radius_km,pole_correction_km,timing_correction_km,ring_longitude_deg,observed_ring_azimuth_deg,normalized_signal_power,normal_optical_depth,phase_shift_deg,normal_optical_depth_threshold,observed_event_time_s,ring_event_time_s,spacecraft_event_time_s,observed_ring_elevation_deg
72012.5,0.313487,0.779923,130.084012,261.515228,1.004814,-0.0001580091,117.075383,0.3928533,15131.57313,10408.1135,10407.32439,1.885431
72015,0.3135,0.77992,130.083952,261.515168,1.002858,-9.389607e-05,116.46919,0.3928535,15131.82339,10408.36374,10407.57465,1.885431
72017.5,0.313513,0.779917,130.083892,261.515107,1.003562,-0.0001169808,115.933909,0.3928537,15132.07366,10408.61398,10407.8249,1.885431
72020,0.313526,0.779913,130.083832,261.515047,1.007643,-0.0002505222,115.481667,0.3928538,15132.32393,10408.86422,10408.07516,1.885431
72022.5,0.313539,0.77991,130.083771,261.514986,1.013841,-0.0004522671,115.109543,0.392854,15132.57419,10409.11447,10408.32541,1.885431
72025,0.313552,0.779907,130.083711,261.514926,1.018393,-0.0005996439,114.808775,0.3928542,15132.82446,10409.36471,10408.57567,1.885431
72027.5,0.313565,0.779904,130.083651,261.514865,1.018306,-0.0005968523,114.567599,0.3928544,15133.07474,10409.61496,10408.82593,1.885431
72030,0.313578,0.779901,130.08359,261.514805,1.015419,-0.000503441,114.381744,0.3928546,15133.32501,10409.86521,10409.07618,1.885431
72032.5,0.31359,0.779898,130.08353,261.514745,1.014145,-0.0004621303,114.222746,0.3928547,15133.57528,10410.11545,10409.32644,1.885431
72035,0.313603,0.779895,130.08347,261.514684,1.016969,-0.0005535985,114.018671,0.3928549,15133.82555,10410.3657,10409.5767,1.885431
72037.5,0.313616,0.779892,130.08341,261.514624,1.021379,-0.0006959877,113.644215,0.3928551,15134.07583,10410.61595,10409.82697,1.885431
72040,0.313629,0.779889,130.083349,261.514563,1.023327,-0.0007586709,113.037958,0.3928553,15134.3261,10410.8662,10410.07723,1.885431
72042.5,0.313642,0.779885,130.083289,261.514503,1.021702,-0.0007063882,112.26824,0.3928555,15134.57638,10411.11645,10410.32749,1.885431
72045,0.313655,0.779882,130.083229,261.514442,1.018694,-0.000609386,111.465528,0.3928556,15134.82666,10411.3667,10410.57776,1.885431
72047.5,0.313668,0.779879,130.083169,261.514382,1.016134,-0.0005265895,110.705229,0.3928558,15135.07694,10411.61696,10410.82802,1.885431
72050,0.313681,0.779876,130.083108,261.514321,1.013602,-0.0004444911,109.96533,0.392856,15135.32722,10411.86721,10411.07829,1.885431
72052.5,0.313694,0.779873,130.083048,261.514261,1.010375,-0.0003396043,109.189662,0.3928562,15135.5775,10412.11747,10411.32856,1.885432
72055,0.313707,0.77987,130.082988,261.514201,1.008236,-0.0002698688,108.412159,0.3928563,15135.82778,10412.36772,10411.57883,1.885432
72057.5,0.313719,0.779867,130.082928,261.51414,1.008719,-0.0002856119,107.68654,0.3928565,15136.07806,10412.61798,10411.8291,1.885432
72060,0.313732,0.779864,130.082867,261.51408,1.01258,-0.0004113027,106.9991,0.3928567,15136.32834,10412.86824,10412.07937,1.885432
72062.5,0.313745,0.779861,130.082807,261.514019,1.018184,-0.0005928953,106.27818,0.3928569,15136.57863,10413.1185,10412.32964,1.885432
72065,0.313758,0.779857,130.082747,261.513959,1.022965,-0.0007470378,105.476726,0.3928571,15136.82892,10413.36876,10412.57991,1.885432
72067.5,0.313771,0.779854,130.082687,261.513899,1.025009,-0.0008126975,104.64556,0.3928572,15137.0792,10413.61902,10412.83019,1.885432
72070,0.313784,0.779851,130.082627,261.513838,1.022894,-0.0007447432,103.83755,0.3928574,15137.32949,10413.86928,10413.08046,1.885432
72072.5,0.313797,0.779848,130.082566,261.513778,1.016549,-0.0005400233,103.047214,0.3928576,15137.57978,10414.11955,10413.33073,1.885432
72075,0.31381,0.779845,130.082506,261.513717,1.008331,-0.0002729673,102.266034,0.3928578,15137.83007,10414.36981,10413.58101,1.885432
72077.5,0.313823,0.779842,130.082446,261.513657,1.001724,-5.668296e-05,101.534675,0.392858,15138.08036,10414.62008,10413.83129,1.885432
72080,0.313836,0.779839,130.082386,261.513597,1.000191,-6.295877e-06,100.920847,0.3928581,15138.33065,10414.87034,10414.08157,1.885432
72082.5,0.313849,0.779836,130.082325,261.513536,1.003763,-0.0001235866,100.449141,0.3928583,15138.58094,10415.12061,10414.33185,1.885432
72085,0.313861,0.779832,130.082265,261.513476,1.010709,-0.0003504763,100.066146,0.3928585,15138.83124,10415.37088,10414.58213,1.885432
72087.5,0.313874,0.779829,130.082205,261.513416,1.017891,-0.0005834245,99.69325,0.3928587,15139.08153,10415.62115,10414.83241,1.885432
72090,0.313887,0.779826,130.082145,261.513355,1.022139,-0.0007204588,99.268,0.3928589,15139.33183,10415.87142,10415.08269,1.885432
72092.5,0.3139,0.779823,130.082085,261.513295,1.022909,-0.0007452223,98.778985,0.392859,15139.58212,10416.12169,10415.33298,1.885432
72095,0.313913,0.77982,130.082025,261.513235,1.021089,-0.0006866485,98.202314,0.3928592,15139.83242,10416.37196,10415.58326,1.885432
72097.5,0.313926,0.779817,130.081964,261.513174,1.017827,-0.000581347,97.537913,0.3928594,15140.08272,10416.62224,10415.83355,1.885432
